"(0, 0)","(1, 1)","(2, 2)","(3, 3)","(4, 4)"
1384,1989-10-30,$2.56,TeX,Richard J. Kinch
289,1997-12-31,$2.56,1,Sean T. Barrett
333,1998-02-26,$2.56,2,Michael Driscoll
428,1998-08-10,$2.56,A,Gabriel Valiente
430,1998-08-10,$2.88,3,Sean T. Barrett
628,1999-12-24,$8.71,SGB,Gabriel Valiente
747,2001-01-01,$2.56,CS,Gabriel Valiente
913,2002-01-09,$2.56,&Theta;,Indrayana (Indra) Rustandi
1015,2002-08-24,$2.56,KLR,Gabriel Valiente
1048,2002-11-27,$2.56,1,Amit Singh
1124,2003-08-29,$2.56,GKP,Mariano Suárez-Alvarez
