"(0, 0)","(1, 1)"
1701 Okavango,1953 NJ
1702 Kalahari,A924 NC
1703 Barry,1930 RB
1704 Wachmann,A924 EE
1706 Dieckvoss,1931 TS
1707 Chantal,1932 RL
1708 Pólit,1929 XA
1709 Ukraina,1925 QA
1710 Gothard,1941 UF
1711 Sandrine,1935 BB
1712 Angola,1935 KC
1713 Bancilhon,1951 SC
1714 Sy,1951 OA
1715 Salli,1938 GK
1716 Peter,1934 GF
1717 Arlon,1954 AC
1718 Namibia,1942 RX
1719 Jens,1950 DP
1720 Niels,1935 CQ
1722 Goffin,1938 EG
1723 Klemola,1936 FX
1724 Vladimir,1932 DC
1725 CrAO,1930 SK
1726 Hoffmeister,1933 OE
1727 Mette,1965 BA
1728 Goethe Link,1964 TO
1729 Beryl,1963 SL
1730 Marceline,1936 UA
1731 Smuts,1948 PH
1732 Heike,1943 EY
1734 Zhongolovich,1928 TJ
1736 Floirac,1967 RA
1737 Severny,1966 TJ
1738 Oosterhoff,1930 SP
1739 Meyermann,1939 PF
1740 Paavo Nurmi,1939 UA
1741 Giclas,1960 BC
1742 Schaifers,1934 RO
1743 Schmidt,4109 P-L
1744 Harriet,6557 P-L
1746 Brouwer,1963 RF
1747 Wright,1947 NH
1748 Mauderli,1966 RA
1749 Telamon,1949 SB
1751 Herget,1955 OC
1752 van Herk,1930 OK
1753 Mieke,1934 JM
1754 Cunningham,1935 FE
1755 Lorbach,1936 VD
1756 Giacobini,1937 YA
1757 Porvoo,1939 FC
1758 Naantali,1942 DK
1759 Kienle,1942 RF
1760 Sandra,1950 GB
1761 Edmondson,1952 FN
1762 Russell,1953 TZ
1765 Wrubel,1957 XB
1766 Slipher,1962 RF
1767 Lampland,1962 RJ
1768 Appenzella,1965 SA
1769 Carlostorres,1966 QP
1770 Schlesinger,1967 JR
1771 Makover,1968 BD
1772 Gagarin,1968 CB
1773 Rumpelstilz,1968 HE
1775 Zimmerwald,1969 JA
1776 Kuiper,2520 P-L
1777 Gehrels,4007 P-L
1778 Alfvén,4506 P-L
1779 Paraná,1950 LZ
1780 Kippes,A906 RA
1781 Van Biesbroeck,A906 UB
1783 Albitskij,1935 FJ
1784 Benguella,1935 MG
1785 Wurm,1941 CD
1786 Raahe,1948 TL
1787 Chiny,1950 SK
1788 Kiess,1952 OZ
1789 Dobrovolsky,1966 QC
1790 Volkov,1967 ER
1791 Patsayev,1967 RE
1792 Reni,1968 BG
1793 Zoya,1968 DW
1794 Finsen,1970 GA
1795 Woltjer,4010 P-L
1796 Riga,1966 KB
1797 Schaumasse,1936 VH
1798 Watts,1949 GC
1799 Koussevitzky,1950 OE
1800 Aguilar,1950 RJ
