"(0, 0)","(1, 1)","(3, 3)","(4, 4)"
15 September 1928,"Lancaster Park, Christchurch",{{ru|AUS}},Australian tour of New Zealand
8 September 1928,"Carisbrook, Dunedin",{{ru|NZL}},Australian tour of New Zealand
5 September 1928,"Athletic Park, Wellington",{{ru|NZL}},Australian tour of New Zealand
29 July 1926,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
20 July 1926,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
17 July 1926,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
10 July 1926,"Royal Agricultural Showground, Sydney",{{ru|AUS}},New Zealand XV tour
19 September 1925,"Eden Park, Auckland",{{ru|NZL}},Australian tour of New Zealand
23 June 1925,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
20 June 1925,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
13 June 1925,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
16 July 1924,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
12 July 1924,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
5 July 1924,"Royal Agricultural Showground, Sydney",{{ru|AUS}},New Zealand XV tour
15 September 1923,"Athletic Park, Wellington",{{ru|NZL}},Australian tour of New Zealand
1 September 1923,"Lancaster Park, Christchurch",{{ru|NZL}},Australian tour of New Zealand
25 August 1923,"Carisbrook, Dunedin",{{ru|NZL}},Australian tour of New Zealand
7 August 1922,"Royal Agricultural Showground, Sydney",{{ru|AUS}},New Zealand XV tour
5 August 1922,"Royal Agricultural Showground, Sydney",{{ru|AUS}},New Zealand XV tour
29 July 1922,"Royal Agricultural Showground, Sydney",{{ru|NZL}},New Zealand XV tour
3 September 1921,"Lancaster Park, Christchurch",{{ru|AUS}},Australian tour of New Zealand
7 August 1920,"Sydney Sports Ground, Sydney",{{ru|NZL}},New Zealand XV tour
31 July 1920,"Sydney Sports Ground, Sydney",{{ru|NZL}},New Zealand XV tour
24 July 1920,"Sydney Sports Ground, Sydney",{{ru|NZL}},New Zealand XV tour
