"(0, 0)","(1, 1)","(9, 9)","(10, 10)","(11, 11)","(12, 12)","(13, 13)","(14, 14)"
{{flagicon|Singapore}} 1984,Did not qualify,,4,1,1,2,9
{{flagicon|JPN}} 1992,Did not qualify,,2,0,0,2,0
{{flagicon|UAE}} 1996,Did not qualify,,6,4,0,2,23
{{flagicon|LIB}} 2000,Did not qualify,,3,1,0,2,4
{{flagicon|CHN}} 2004,Group stage,,6,5,0,1,24
{{flagicon|IDN}} {{flagicon|MAS}} {{flagicon|THA}} {{flagicon|VIE}} 2007,Group stage,,6,4,0,2,14
{{flagicon|QAT}} 2011,Did not qualify,,6,2,2,2,4
{{flagicon|AUS}} 2015,Group stage,,6,4,2,0,7
{{flagicon|UAE}} 2019,Round of 16,,14,9,2,3,39
Total,Best: Round of 16,,53,30,7,16,124
