"(0, 0)","(1, 1)","(2, 2)","(3, 3)"
{{gold medal}},Novica Čanović,Image:Athletics pictogram.svg Athletics,High jump
{{gold medal}},Sejad Krdžalić,Image:Athletics pictogram.svg Athletics,Javelin throw
{{gold medal}},Slobodanka Čolović,Image:Athletics pictogram.svg Athletics,800m
{{gold medal}},Amra Temim,Image:Athletics pictogram.svg Athletics,High jump
{{gold medal}},Kristina Jazbinšek,Image:Athletics pictogram.svg Athletics,Javelin throw
{{gold medal}},Vučić Dobrašinović,Image:Boxing pictogram.svg Boxing,Welterweight
{{gold medal}},Agim Ljatifi,Image:Boxing pictogram.svg Boxing,Light Welterweight
{{gold medal}},Damir Škaro,Image:Boxing pictogram.svg Boxing,Light Heavyweight
{{gold medal}},Azis Salihu,Image:Boxing pictogram.svg Boxing,Heavyweight (+91)
{{gold medal}},Nandor Sabo,Image:Wrestling pictogram.svg Wrestling,Greco-Roman 68kg
{{gold medal}},Franc Podlesek,Image:Wrestling pictogram.svg Wrestling,Greco-Roman 74kg
{{gold medal}},Emil Trauber,Image:Wrestling pictogram.svg Wrestling,Greco-Roman 100kg
{{gold medal}},Šaban Trstena,Image:Wrestling pictogram.svg Wrestling,Men's Freestyle 57kg
