"(0, 0)","(1, 1)","(3, 3)","(4, 4)","(5, 5)","(6, 6)"
2018/3/14,240.8,233.4,248.2,42.68,
2018/3/15,239.5,232.5,246.5,42.67,
2018/3/16,237.8,231.0,244.7,42.66,
2018/3/17,235.9,229.3,242.6,42.66,
2018/3/18,233.8,227.3,240.4,42.65,
2018/3/19,231.8,225.4,238.2,42.65,
2018/3/20,229.3,222.9,235.8,42.65,
2018/3/21,227.0,220.3,233.6,42.64,
2018/3/22,224.8,217.8,231.8,42.64,
2018/3/23,222.4,215.1,229.6,42.64,
2018/3/24,219.4,211.6,227.2,42.65,
2018/3/25,216.2,208.1,224.3,42.65,
2018/3/27,207.7,199.2,216.3,42.66,
2018/3/28,202.3,193.9,210.8,42.67,
