0,1,2,3,4,5
International appearances,International appearances,International appearances,International appearances,International appearances,International appearances
#,Date,Venue,Opponent,Result,Competition
1.,25 Marzo 2011,"Estadio Hidalgo, Pachuca, Mexico",{{flagicon|MEX}} Pachuca C.F.,2-2,Friendly
2.,27 Marzo 2011,"Estadio Nemesio Díez, Toluca, Mexico",{{flagicon|MEX}} Deportivo Toluca,2-1,Friendly
3.,15 June 2011,"Estadio Caliente, Tijuana, Mexico",{{flagicon|COL}} Independiente Medellín,2-2,Friendly
4.,22 February 2012,"Ciudad Nezahualcóyotl, Mexico",{{flagicon|MEX}} Toros Neza,4-2,Friendly
5.,29 February 2012,"Pizza Hut Park, Dallas, Texas, United States",{{fb|USA}},0-2,Friendly
6.,23 March 2012,"Carson, United States",{{fbu|23|Trinidad and Tobago}},1–7,2012 CONCACAF Men's Olympic Qualifying Tournament
7.,25 March 2012,"Carson, United States",{{fbu|23|Honduras}},3-0,2012 CONCACAF Men's Olympic Qualifying Tournament
8.,"March 27, 2012","Home Depot Center, Carson, California, United States",{{fb|PAN}},1–0,2012 CONCACAF Men's Olympic Qualifying Tournament
9.,"March 31, 2012","Livestrong Sporting Park, Kansas City, United States",{{fb|CAN}},3–1,2012 CONCACAF Men's Olympic Qualifying Tournament
10.,"April 2, 2012","Livestrong Sporting Park, Kansas City, United States",{{fb|HON}},2–1,2012 CONCACAF Men's Olympic Qualifying Tournament
11.,24 May 2012,"Aubagne, France",{{fbu|23|Morocco}},4–3,2012 Toulon Tournament
12.,26 May 2012,"Nice, France",{{fbu|20|France}},3–1,2012 Toulon Tournament
13.,28 May 2012,"Le Lavandou, France",{{fbu|23|Belarus}},1–2,2012 Toulon Tournament
14.,30 May 2012,"Avignon, France",{{fbu|21|Netherlands}},4–2,2012 Toulon Tournament
15.,1 June 2012,"Hyères, France",{{fbu|21|Turkey}},0–3,2012 Toulon Tournament
16.,5 July 2012,"Estadio Leon, Guanajuato, Mexico",{{flagicon|MEX}} Club Leon,1–1,Friendly
17.,15 July 2012,"Marbella Football Center, Spain",{{fbu|23|Great Britain}},0–1,Friendly
18.,18 July 2012,"Estadio Ramón de Carranza, Cadiz, España",{{fb|ESP}},1–0,Friendly
19.,21 July 2012,"Nottingham, England",{{fbu|23|Japan}},1–2,Friendly
20.,29 July 2012,"City of Coventry Stadium, Coventry, England",{{fbu|23|GAB}},2–0,Football at the 2012 Summer Olympics – Men's tournament
21.,6 August 2012,"Wembley Stadium, London, England",{{fbu|23|JPN}},3–1,2012 Summer Olympics
