0,1,2
Gen,Year,Notable Alumni
1,1995,"Shinagawa Shoji, Hachimitsu Jiro (Tokyo Dynamite), Hamaron"
2,1996,"Hiroaki Matsuda (Hiking Walking), Garittochu, Ginnana, Kazuyuki Sakuma, Masashi Kumada, Kiton"
3,1997,"Total Ten Bosch, Potato Shonen-dan, Yuichiro Nagai, AMEMIYA, Cyclone Z, Man☆tan Taro"
4,1998,"Robert, Morisanchu, Oniyako Tsubaki, POISON GIRL BAND, Impulse"
5,1999,"Heisei Nobushi Kobushi, Peace, Sanpei, Onishi Lion"
6,2000,Tonikaku Akarui Yasumura
7,2001,"Mo Chugakusei, LLR"
8,2002,"Slim Club, Takahiro Ogata (Panther), Joyman, Hikaru ""Pharaoh"" Hirai (Bakayo Anataha)"
9,2003,"Harisenbon, Shizzle, Aipa Takizawa, Yutarikan, Igo Shogi, Sho Kiryuin (Golden Bomber)"
10,2004,"Oriental Radio, Trendy Angel, Hannya, Fruit Punch, Impossible, Go! Minagawa, Masanori Morita, Akatsu"
11,2005,"Edo Harumi, Satoshi Mukai (Panther), Chocolate Planet, Sissonne, Takayuki Hamatsu"
12,2006,"Naomi Watanabe, Jungle Pocket, Wes-P, Ocha no Mizudanshi, Jeradon,"
13,2007,"Tabata Fujimoto, Boyfriend, Pistachio, Kei Yamazaki (Aiseki Start)"
14,2008,"Dai Taku, Nelsons, Rintaro (EXIT), Baby Gang, Kan Yamaso (Aiseki Start), Awayokuba"
15,2009,"Dennis, Matenro, Hirocho Nishimura, Onigoe Tomahawk, Okazu Club, Natsuko Yokosawa, Kimiko Koyama, Sanninawasete Hoshino Desu (Parpar)"
16,2010,"Shunshun Clinic P, Universe"
17,2011,"Laugh Recueil, Kuki Kaidan, Sugoi Ron,"
18,2012,"Obata no Oniisan, Nekojuku, Rainbow, Hyokkori-han"
19,2013,"Full Frontal, Daiki Kanechika (EXIT)"
20,2014,"Buddha Maria, Ratatatta"
21,2015,Gigas Rush
22,2016,"Nightingale Dance, Bagaria"
23,2017,Reiwa Roman
24,2018,Kingyo Bancho
