0,1,2,3,4
Date,Home,Away,Score,Broadcasting
December 10,Valencia CF,Athletic de Bilbao,1-1,Pay per view
December 10,Real Sociedad,Villarreal CF,1-3,National TV
December 11,Real Betis,RCD Espanyol,0-0,Pay per view
December 11,Real Zaragoza,Celta de Vigo,1-0,Pay per view
December 11,Deportivo de La Coruña,Cádiz CF,1-0,Pay per view
December 11,Getafe CF,Racing de Santander,1-2,Pay per view
December 11,Atlético Madrid,Deportivo Alaves,1-1,Pay per view
December 11,CA Osasuna,RCD Mallorca,1-0,Pay per view
December 11,Málaga CF,Real Madrid,0-2,Pay per view
December 11,FC Barcelona,Sevilla FC,2-1,Canal Plus
