0,1,2,3
Rank,Scorer,Team,"Goals
(Pen.)"
1,{{flagicon|UKR}} Ruslan Kisil,Illichivets Mariupol,12
2,{{flagicon|UKR}} Ruslan Stepanyuk,Veres Rivne,10 (1)
3,{{flagicon|UKR}} Oleksandr Filippov,Desna Chernihiv,7
4,{{flagicon|UKR}} Oleksandr Bondarenko,Kolos Kovalivka,5
4,{{flagicon|UKR}} Aderinsola Habib Eseola,Arsenal Kyiv,5
4,{{flagicon|UKR}} Maksym Marusych,Hirnyk-Sport Horishni Plavni,5 (3)
7,{{flagicon|UKR}} Serhiy Borzenko,Veres Rivne,4
7,{{flagicon|UKR}} Denys Kozhanov,Illichivets Mariupol,4
7,{{flagicon|UKR}} Vyachyslav Ryabov,Kolos Kovalivka,4
7,{{flagicon|UKR}} Ihor Sikorskyi,Veres Rivne,4
7,{{flagicon|UKR}} Levan Arveladze,Naftovyk-Ukrnafta Okhtyrka,4 (2)
