0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
AFC Asian Cup Finals record,AFC Asian Cup Finals record,AFC Asian Cup Finals record,AFC Asian Cup Finals record,AFC Asian Cup Finals record,AFC Asian Cup Finals record,AFC Asian Cup Finals record,AFC Asian Cup Finals record,AFC Asian Cup Finals record,,AFC Asian Cup qualification,AFC Asian Cup qualification,AFC Asian Cup qualification,AFC Asian Cup qualification,AFC Asian Cup qualification
Hosts / year,Result,Position,{{Tooltip|GP|Games Played}},{{Tooltip|W|Won}},{{Tooltip|D|Drawn}}*,{{Tooltip|L|Lost}},{{Tooltip|GS|Goals Scored}},{{Tooltip|GA|Goals Allowed}},,{{Tooltip|GP|Games Played}},{{Tooltip|W|Won}},{{Tooltip|D|Drawn}}*,{{Tooltip|L|Lost}},{{Tooltip|GS|Goals Scored}}
{{flagicon|HKG}} 1956 to {{flagicon|KUW}} 1980,Did not enter,-,-,-,-,-,-,-,,-,-,-,-,-
{{flagicon|Singapore}} 1984,Did not qualify,-,-,-,-,-,-,-,,4,1,1,2,9
{{flagicon|QAT}} 1988,Withdrew,-,-,-,-,-,-,-,,-,-,-,-,-
{{flagicon|JPN}} 1992,Did not qualify,-,-,-,-,-,-,-,,2,0,0,2,0
{{flagicon|UAE}} 1996,Did not qualify,-,-,-,-,-,-,-,,6,4,0,2,23
{{flagicon|LIB}} 2000,Did not qualify,-,-,-,-,-,-,-,,3,1,0,2,4
{{flagicon|CHN}} 2004,Group stage,9th,3,1,1,1,4,3,,6,5,0,1,24
{{flagicon|IDN}} {{flagicon|MAS}} {{flagicon|THA}} {{flagicon|VIE}} 2007,Group stage,15th,3,0,2,1,1,3,,6,4,0,2,14
{{flagicon|QAT}} 2011,Did not qualify,-,-,-,-,-,-,-,,6,2,2,2,4
{{flagicon|AUS}} 2015,Group stage,12th,3,1,0,2,1,5,,6,4,2,0,7
{{flagicon|UAE}} 2019,Round of 16,,4,1,0,3,4,6,,14,9,2,3,39
Total,Best: Round of 16,4/17,13,3,3,7,10,17,,53,30,7,16,124
