0,1,2,3,4,5,6,7,8,9,10,11,12
,,,,Regular season,Regular season,Regular season,Regular season,Regular season,,Playoffs,Playoffs,Playoffs
Season,Team,League,,GP,G,A,Pts,PIM,,GP,G,A
2003–04,Texarkana Bandits,NAHL,,56,20,24,44,71,,—,—,—
2004–05,Lincoln Stars,USHL,,60,30,30,60,56,,4,0,2
2005–06,Notre Dame,CCHA,,36,6,28,34,32,,—,—,—
2006–07,Notre Dame,CCHA,,42,14,34,48,18,,—,—,—
2007–08,Notre Dame,CCHA,,41,15,23,38,26,,—,—,—
2008–09,Notre Dame,CCHA,,40,13,25,38,34,,—,—,—
2009–10,Binghamton Senators,AHL,,80,11,27,38,61,,—,—,—
2010–11,Binghamton Senators,AHL,,55,17,30,47,28,,23,5,12
2010–11,Ottawa Senators,NHL,,26,6,5,11,12,,–,–,–
2011–12,Ottawa Senators,NHL,,81,8,17,25,30,,7,1,0
2012–13,EV Füssen,3.GBun,,7,8,11,19,2,,–,–,–
2012–13,SC Riessersee,2.GBun,,10,10,5,15,8,,–,–,–
2012–13,Ottawa Senators,NHL,,48,4,8,12,34,,10,1,6
2013–14,Ottawa Senators,NHL,,76,6,10,16,30,,–,–,–
2014–15,Ottawa Senators,NHL,,68,9,14,23,30,,6,1,0
2015–16,Tampa Bay Lightning,NHL,,54,6,5,11,34,,3,0,0
2016–17,Syracuse Crunch,AHL,,55,15,33,48,37,,18,5,11
2016–17,Tampa Bay Lightning,NHL,,13,0,0,0,4,,–,–,–
2017–18,Syracuse Crunch,AHL,,48,9,16,25,57,,7,0,5
2018-19,Texas Stars,AHL,,21,11,15,26,28,,–,–,–
NHL totals,NHL totals,NHL totals,,366,39,59,98,174,,26,3,6
