0,1,2,3,4,5,6,7,8,9,10,11
Wins,Tire,Victories,Victories,Victories,Victories,Victories,Victories,Victories,Victories,Victories,Victories
68,{{Firestone}},1911,1913,1920,1921,1922,1923,1924,1925,1926,1927
68,{{Firestone}},1928,1929,1930,1931,1932,1933,1934,1935,1936,1937
68,{{Firestone}},1938,1939,1940,1941,1946,1947,1948,1949,1950,1951
68,{{Firestone}},1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
68,{{Firestone}},1962,1963,1964,1965,1966,1969,1970,1971,1996,1997
68,{{Firestone}},2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
68,{{Firestone}},2010,2011,2012,2013,2014,2015,2016,2017,&nbsp;,&nbsp;
29,{{Goodyear}},1919,1967,1968,1972,1973,1974,1975,1976,1977,1978
29,{{Goodyear}},1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
29,{{Goodyear}},1989,1990,1991,1992,1993,1994,1995,1998,1999,&nbsp;
2,{{BF Goodrich}},1915,1916,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
1,{{Michelin}},1912,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
1,{{Palmer Cord}},1914,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
