0,1,2,3
{{Tooltip|No.|Car number}},Driver,Team,Manufacturer
1,Jamie McMurray,Chip Ganassi Racing,Chevrolet
2,Brad Keselowski,Team Penske,Ford
3,Austin Dillon,Richard Childress Racing,Chevrolet
4,Kevin Harvick,Stewart-Haas Racing,Ford
5,Kasey Kahne,Hendrick Motorsports,Chevrolet
6,Trevor Bayne,Roush Fenway Racing,Ford
10,Danica Patrick,Stewart-Haas Racing,Ford
11,Denny Hamlin,Joe Gibbs Racing,Toyota
13,Ty Dillon (R),Germain Racing,Chevrolet
14,Clint Bowyer,Stewart-Haas Racing,Ford
15,Reed Sorenson,Premium Motorsports,Chevrolet
17,Ricky Stenhouse Jr.,Roush Fenway Racing,Ford
18,Kyle Busch,Joe Gibbs Racing,Toyota
19,Daniel Suárez (R),Joe Gibbs Racing,Toyota
20,Matt Kenseth,Joe Gibbs Racing,Toyota
21,Ryan Blaney,Wood Brothers Racing,Ford
22,Joey Logano,Team Penske,Ford
23,Corey LaJoie (R),BK Racing,Toyota
24,Chase Elliott,Hendrick Motorsports,Chevrolet
27,Paul Menard,Richard Childress Racing,Chevrolet
31,Ryan Newman,Richard Childress Racing,Chevrolet
32,Matt DiBenedetto,Go Fas Racing,Ford
33,Jeffrey Earnhardt,Circle Sport – The Motorsports Group,Chevrolet
34,Landon Cassill,Front Row Motorsports,Ford
37,Chris Buescher,JTG Daugherty Racing,Chevrolet
38,David Ragan,Front Row Motorsports,Ford
41,Kurt Busch,Stewart-Haas Racing,Ford
42,Kyle Larson,Chip Ganassi Racing,Chevrolet
43,Aric Almirola,Richard Petty Motorsports,Ford
47,A. J. Allmendinger,JTG Daugherty Racing,Chevrolet
48,Jimmie Johnson,Hendrick Motorsports,Chevrolet
51,B. J. McLeod (i),Rick Ware Racing,Chevrolet
55,Gray Gaulding (R),Premium Motorsports,Toyota
66,Timmy Hill (i),MBM Motorsports,Chevrolet
72,Cole Whitt,TriStar Motorsports,Chevrolet
77,Erik Jones (R),Furniture Row Racing,Toyota
78,Martin Truex Jr.,Furniture Row Racing,Toyota
83,Brett Moffitt (i),BK Racing,Toyota
88,Dale Earnhardt Jr.,Hendrick Motorsports,Chevrolet
95,Michael McDowell,Leavine Family Racing,Chevrolet
Official entry list,Official entry list,Official entry list,Official entry list
