0,1,2,3,4,5,6
"Date
(CST)",Average,Average,Perigee,Apogee,"Orbital
inclination",Source
2017/3/20,348.3,{{Simple bar|348.3|width=200|max=350}},334.8,361.8,42.8,
2018/1/7,281.3,{{Simple bar|281.3|width=200|max=350}},265.1,297.4,42.77,
2018/3/14,240.8,{{Simple bar|240.8|width=200|max=350}},233.4,248.2,42.68,
2018/3/15,239.5,{{Simple bar|239.5|width=200|max=350}},232.5,246.5,42.67,
2018/3/16,237.8,{{Simple bar|237.8|width=200|max=350}},231.0,244.7,42.66,
2018/3/17,235.9,{{Simple bar|235.9|width=200|max=350}},229.3,242.6,42.66,
2018/3/18,233.8,{{Simple bar|233.8|width=200|max=350}},227.3,240.4,42.65,
2018/3/19,231.8,{{Simple bar|231.8|width=200|max=350}},225.4,238.2,42.65,
2018/3/20,229.3,{{Simple bar|229.3|width=200|max=350}},222.9,235.8,42.65,
2018/3/21,227.0,{{Simple bar|227.0|width=200|max=350}},220.3,233.6,42.64,
2018/3/22,224.8,{{Simple bar|224.8|width=200|max=350}},217.8,231.8,42.64,
2018/3/23,222.4,{{Simple bar|222.4|width=200|max=350}},215.1,229.6,42.64,
2018/3/24,219.4,{{Simple bar|219.4|width=200|max=350}},211.6,227.2,42.65,
2018/3/25,216.2,{{Simple bar|216.2|width=200|max=350}},208.1,224.3,42.65,
2018/3/26,212.0,{{Simple bar|212.0|width=200|max=350}},203.9,220.0,42.65,
2018/3/27,207.7,{{Simple bar|207.7|width=200|max=350}},199.2,216.3,42.66,
2018/3/28,202.3,{{Simple bar|202.3|width=200|max=350}},193.9,210.8,42.67,
2018/3/29,196.4,{{Simple bar|196.4|width=200|max=350}},188.5,204.3,42.67,
2018/3/30,189.5,{{Simple bar|189.5|width=200|max=350}},181.8,197.2,42.68,
2018/3/31,179.0,{{Simple bar|179.0|width=200|max=350}},171.8,186.2,42.69,
2018/4/1,167.6,{{Simple bar|167.6|width=200|max=350}},161.0,174.3,42.70,
2018/4/2,132.75,{{Simple bar|132.75|width=200|max=350}},130.9,134.6,42.70,
