0,1,2,3,4,5,6,7
n,Least SPSP,n,Least SPSP,n,Least SPSP,n,Least SPSP
1,9,33,545,65,33,97,49
2,2047,34,33,66,65,98,9
3,121,35,9,67,33,99,25
4,341,36,35,68,25,100,9
5,781,37,9,69,35,101,25
6,217,38,39,70,69,102,133
7,25,39,133,71,9,103,51
8,9,40,39,72,85,104,15
9,91,41,21,73,9,105,451
10,9,42,451,74,15,106,15
11,133,43,21,75,91,107,9
12,91,44,9,76,15,108,91
13,85,45,481,77,39,109,9
14,15,46,9,78,77,110,111
15,1687,47,65,79,39,111,55
16,15,48,49,80,9,112,65
17,9,49,25,81,91,113,57
18,25,50,49,82,9,114,115
19,9,51,25,83,21,115,57
20,21,52,51,84,85,116,9
21,221,53,9,85,21,117,49
22,21,54,55,86,85,118,9
23,169,55,9,87,247,119,15
24,25,56,55,88,87,120,91
25,217,57,25,89,9,121,15
26,9,58,57,90,91,122,65
27,121,59,15,91,9,123,85
28,9,60,481,92,91,124,25
29,15,61,15,93,25,125,9
30,49,62,9,94,93,126,25
31,15,63,529,95,1891,127,9
32,25,64,9,96,95,128,49
